id,text,label,sentiment
9536,"cooking microwave pizzas, yummy",2,positive
6135,any plans of allowing sub tasks to show up in the widget?,1,neutral
17697,"i love the humor, i just reworded it. like saying 'group therapy' insteada 'gang banging'. keeps my moms off my back. hahaha",2,positive
14182,naw idk what ur talkin about,1,neutral
17840,that sucks to hear. i hate days like that,0,negative
3655,umm yeah. thats probably a pretty good note to self because eeeeee,2,positive
719,whatever do you mean?,1,neutral
22823,that would panic me a little! maybe you can read on an orbitron at the gym like i do...when all else fails?!?,0,negative
4869,is sad when peoples phones are dead,0,negative
793,sad face.,0,negative
13970,"in cafe management, the end of the month is nothing but numbers. my arty little head hurts from finding discrepencies",0,negative
20050,"basically ive listened to miley cyrus for fourteen hours now, and i love it.",2,positive
1399,what did you think of the finale? i thought it was kind of a cheap way out,0,negative
2691,"i think that boat sailed my friend... the few ccos that had them, had them months ago.... i wish you luck though...",2,positive
18593,gave my mommy her mothers day present. tickets to aerosmith her favorite band everr. yay for a good reaction.,2,positive
8340,"installed office for mac messed up all my fonts on safari, on a stick! help! cant even read the solutions online",0,negative
7922,youre welcome...,2,positive
23219,ok so im hungry....! im fat i know..i know..! aha,0,negative
9289,early monday cramming... yay. only a few weeks left,1,neutral
18568,ok its ff soooo why isnt anyone following meeee??? lol ughhhh i have some lazy a followers they wont even help me out,1,neutral
6684,has ruth today,1,neutral
14653,bye plurk out muna. will be back when im done reading the book,1,neutral
17944,gonna have a lazy day today,0,negative
18373,i am tired.,0,negative
2900,loving the jumper,2,positive
3359,"nz busy,fun mothers day thanks got what i wanted...a wii fit!!! yay",2,positive
680,"this app is just great, it not only reminds me what i need to do, it really motivates me to do stuff. the only problem i'm facing, whenever i try to mark a task as completed, the task crashes, and then it updates and actually shown as completed, except this annoying bug, i love it.",2,positive
24372,still at work.,1,neutral
464,byspork we shall see,1,neutral
2290,"guess im gonna try the nap thing again 2day, but since my kids havent cooperated with it yet this week im sure 2day wont be different",0,negative
12172,odd i tried to call mitchel musso but it dosent work....,0,negative
4287,lucy is hating on my gweg!,0,negative
21344,"ah sameway yet, has 2006 votes .we need more vote d",1,neutral
15895,how much?,1,neutral
17442,"shall bring his own glass to work from tonight, no more half half hor!!",1,neutral
6000,"not as useful as wunderlist... yet!! would prefer to have a tab for the week. not just day, that way i can anticipate. also wish items would show up in my calendar.",1,neutral
9164,"ugh, i love tila. haters need to shut up",1,neutral
9723,wow the dude said i was better than bobbi lewis.. never heard the guy but i take that as a compliment just read the bl web site,2,positive
1341,oh no say it aint so,0,negative
816,"great planning app, reliable and easy to use.",2,positive
13752,is chilling at home,2,positive
3764,i hope that they could have an alarm after the rest session ends,1,neutral
7130,helpful to visualize recurring events on google calendar.,2,positive
12959,yep... i think i might have just made the decision to go head first... we may be witnessing a historical moment... real talk,1,neutral
10890,was jst out there wednesday,1,neutral
11674,could get to do the honours?,1,neutral
27085,yeah... its gonna be a long while for me.,1,neutral
14299,"waking now, so lazy and very worry ...",0,negative
15165,hehe i will never thorw out these shoes im listening to varsity fanclub surprise surprise sway sway baby is awesome,2,positive
11661,thanks dinno appreciate it,2,positive
55,upgraded and lost all my tasks from previous version ... very disappointed!!!,0,negative
19067,dam only 5 votes not gonna win anything now,0,negative
3176,hebrew language doesn't work...,2,positive
15875,loving lego indiana jones. a gameresearching aracheologists dream,2,positive
19253,download movie 'ben 10 alien force' cool,2,positive
16200,"years ago, my brother saw you and bruce walking on the sidewalk in sanibel. i used to live on pine is. great place",2,positive
2826,so technically....i havent really gotten out of bed. so i think youre right and im gonna stay here!,1,neutral
15259,stu is actually severly sunburnt....it hurts!!!,0,negative
23182,homework,1,neutral
24927,my ti89 died. i dont know why.,0,negative
2486,it's a wonderful app,2,positive
6263,"629 pm ok, lets go now through but first.. a break 0 aargh.. tired",0,negative
14603,not feeling very well.,0,negative
1408,easy to use. i will however like to have a time boxing feature for my daily activities.,2,positive
172,url in previous post to timer job should be id removed space which messed up url. es,0,negative
26726,hug,2,positive
19834,"peek mkay did you tell him on msn? bfgurelgbsr yeah, i guess so, i dont know if i like it, ill wait till i get your opinion",1,neutral
10648,"too much good food on this mothers day. not that im complaining! seafood, durian puffs and macarons! yum!",2,positive
6268,"totally unsurprised that dave isnt coming back to 10. but annalisa is wrong for it, opposite of big warm mellow dave.",0,negative
7875,im hungry but cant eat anything right now because my tongue hurts so bad.,0,negative
18809,"wowza, only the second tweet of my entire trip and i leave in 3 days but first blow up sf tomorrow night!",1,neutral
759,is getting married in vegas in november by an elvis impersonator am so happy!!!,2,positive
2281,you dont say,1,neutral
3459,omg madness just came on the radio,0,negative
1899,good night,2,positive
2239,"leaving work, going to crystal to search for her license, picking her and bia up, then heading to vegas. ugh im tired already",0,negative
14154,ima say you should smudge yourself before i start calling people given the malicious action we pulled the other night,0,negative
2215,hope u did alright on the final,2,positive
4460,"very nice, very simple, very usefull, but the free mode is too annoyingly limited. looking forward to having the ability to link habits with my wife or friends.",1,neutral
3448,agreed,1,neutral
526,app is good but it could have better,1,neutral
7351,useless i dont want to purchase the app as this free version offers no good features.. the paid app might be better..rating 2 just because of the feedback on user review.,0,negative
4625,my breath is weezy. no more going to knotts when youve been sick all week.,0,negative
23001,been invited to join a group in second life called 'ballistic autistics'. cute name.,2,positive
5830,"some features widely requested and very useful are missing task with due date should automatically appear on 'my day' forward email to microsoft todo address and automatically add a task sort task by modification date, the ideia is to have on top the oldest task that i've updated very important feature, comments, ability to make comment on the task with timestamp tags, must have tags to more easily search and filter please improved microsoft todo with this features",0,negative
9854,"i wish it would sync, so i could use it on all devices",1,neutral
16811,"gonna go round up some dvds to sell... i will miss them, but i need money!",0,negative
18188,wtf was that 5 mins before the marked closed...faz you cost me 4 grand,0,negative
25334,got a saturdays framed signed foto last night and a valentino rossi 1 aswell eee what a night,2,positive
2189,very useful and flexible for scheduling tasks. it can be better by employing ml to guess the best choice of time for any task.,2,positive
9717,why won't my homescreen widget display all day events? this makes it really difficult to use,1,neutral
6059,"the app is great, and ive started to use it rather than wunderlist. just 3 stars because i dont think the my day section makes sense. tasks flagged as to be done today, in others lists, should appear in my day, as those are the tasks for today, seems my day only considers tasks added specifically to that list, and that makes it confusing and redundant, as in planned, the right logic is applied, where you see planned tasks for today and ahead. shouldnt the same logic apply to the my day window? or i am doing something wrong?",1,neutral
6857,"went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. d why!",0,negative
27245,"going out with my tita gi, sister and my beloved lola! were going to treat her for dinner! wohoo... so excited and hungry...",2,positive
24383,i like all the songs i cant say just one guys! love ya,2,positive
12010,thanks for the link geoff,2,positive
